frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
47,1777369188.442342,39.990002,0.000000,0,2.277000,-0.002000,0.000000,0.000000,1.000000,0.000000,1221.153809,0.000000,0.033065,0.033065,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
48,1777369188.451334,40.000000,0.000000,0,1.601600,-0.002000,0.000000,0.000000,1.000000,0.000000,1000.153809,0.000000,0.033261,0.033261,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
49,1777369188.461337,40.009998,0.000000,0,1.232000,-0.002000,0.000000,0.000000,1.000000,0.000000,881.153809,0.000000,0.033361,0.033361,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
50,1777369188.472337,40.020000,0.000000,0,0.526400,-0.001000,0.000000,0.000000,1.000000,0.000000,1011.153809,0.000000,0.033532,0.033532,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
51,1777369188.482337,40.029999,0.000000,0,-0.199000,-0.001000,0.000000,0.000000,1.000000,0.000000,1141.153809,0.000000,0.033689,0.033689,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
52,1777369188.491338,40.040001,0.000000,0,-0.584900,-0.000700,0.000000,0.000000,1.000000,0.000000,1211.153809,0.000000,0.033768,0.033768,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
53,1777369188.501336,40.049999,0.000000,0,-0.958000,0.000000,0.000000,0.000000,1.000000,0.000000,1281.153809,0.000000,0.033844,0.033844,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
54,1777369188.510337,40.060001,0.000000,0,-1.603800,0.000000,0.000000,0.000000,1.000000,0.000000,1411.153809,0.000000,0.033973,0.033973,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
55,1777369188.519338,40.060001,0.000000,0,-1.889400,0.000000,0.000000,0.000000,1.000000,0.000000,1471.153809,0.000000,0.034030,0.034030,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
56,1777369188.529335,40.080002,0.000000,0,-2.513800,0.000000,0.000000,0.000000,0.000000,0.000000,1611.153809,0.000000,0.034151,0.034151,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
57,1777369188.538337,40.080002,0.000000,0,-2.769400,0.000000,0.000000,0.000000,0.000000,0.000000,1671.153809,0.000000,0.034200,0.034200,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
58,1777369188.549335,40.090000,0.000000,0,-3.054400,0.000000,0.000000,0.000000,0.000000,0.000000,1741.153809,0.000000,0.034254,0.034254,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
59,1777369188.558334,40.099998,0.000000,0,-3.560700,0.000000,0.000000,0.000000,0.000000,0.000000,1745.153809,0.000000,0.034348,0.034348,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
60,1777369188.568350,40.110001,0.000000,0,-3.817400,0.000000,0.000000,0.000000,0.000000,0.000000,1717.153809,0.000000,0.034395,0.034395,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
61,1777369188.577338,40.130001,0.000000,0,-4.310000,0.000000,0.000000,0.000000,0.000000,0.000000,1661.153809,0.000000,0.034484,0.034484,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
62,1777369188.586339,40.130001,0.000000,0,-4.508000,0.000000,0.000000,0.000000,0.000000,0.000000,1698.822266,0.000000,0.034518,0.034518,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
